feature,importance_gain,importance_split
entry_tenji__mean,8900.464918613434,71
wakuban__mean,5056.827667236328,64
pred_mark__mean,3832.4936089515686,95
N_winning_rate__mean,1266.9657402038574,66
N_3rentai_rate__mean,1182.0918197631836,47
time_tenji__mean,862.2059745788574,63
N_2rentai_rate__mean,854.0934405326843,42
motor_2rentai_rate__mean,620.4919023513794,52
weight__adiff,602.8098955154419,39
entry_tenji__adiff,527.0833268165588,20
LC_2rentai_rate__mean,508.9973306655884,37
motor_2rentai_rate__adiff,493.8082194328308,41
entry_tenji__diff,450.8860502243042,16
age__diff,428.02625608444214,34
motor_3rentai_rate__mean,416.5325207710266,32
motor_2rentai_rate__diff,411.25317096710205,30
boat_3rentai_rate__diff,405.2045888900757,29
N_3rentai_rate__diff,400.0507516860962,26
N_2rentai_rate__adiff,387.793662071228,29
N_winning_rate__diff,381.28835010528564,26
boat_2rentai_rate__mean,380.3466086387634,30
N_2rentai_rate__diff,372.77099895477295,26
boat_3rentai_rate__mean,370.5177888870239,26
boat_2rentai_rate__diff,367.2700810432434,27
ST_tenji__diff,357.15196895599365,31
weight__diff,344.64765977859497,27
ST_tenji__mean,332.34089851379395,29
motor_3rentai_rate__adiff,321.60689878463745,29
age__mean,320.28836250305176,28
weight__mean,314.9308280944824,22
ST_mean__mean,305.73402881622314,22
LC_winning_rate__mean,293.77445888519287,19
motor_3rentai_rate__diff,291.8208303451538,23
boat_3rentai_rate__adiff,288.30578804016113,27
N_winning_rate__adiff,278.82057905197144,22
LC_3rentai_rate__mean,274.9367218017578,26
wakuban__diff,272.0336585044861,19
N_3rentai_rate__adiff,268.76695013046265,25
LC_3rentai_rate__diff,268.27176809310913,24
LC_2rentai_rate__adiff,260.1880302429199,22
LC_3rentai_rate__adiff,253.1699013710022,21
boat_2rentai_rate__adiff,252.73223876953125,20
LC_winning_rate__adiff,251.18032789230347,19
age__adiff,245.6641230583191,20
day__mean,242.45956897735596,15
ST_tenji__adiff,235.5782299041748,17
time_tenji__diff,231.4555025100708,23
pred_mark__diff,229.4776120185852,15
time_tenji__adiff,211.7746410369873,19
LC_2rentai_rate__diff,191.56383085250854,14
LC_winning_rate__diff,158.44602060317993,14
pred_mark__adiff,152.92274045944214,14
wind_speed__shared,151.06904888153076,12
wave_height__shared,139.30100011825562,9
ST_mean__diff,133.14866733551025,12
ST_tenji_rank__mean,124.66322994232178,12
temperature__shared,117.22489023208618,11
ST_tenji_rank__diff,99.19554901123047,9
ST_tenji_rank__adiff,99.05458164215088,8
counter_weight__mean,97.85427141189575,9
Tilt__diff,91.77067995071411,8
water_temperature__shared,85.2617301940918,7
ST_mean__adiff,76.10474014282227,6
run_once__mean,62.91805934906006,5
counter_weight__diff,57.211299419403076,5
Tilt__mean,56.30198001861572,4
F__mean,50.95050001144409,5
Tilt__adiff,43.10023021697998,4
wakuban__adiff,42.72990036010742,3
counter_weight__adiff,24.965100288391113,2
F__adiff,24.595550537109375,2
run_once__diff,18.898489952087402,2
F__diff,10.651800155639648,1
L__adiff,0.0,0
day__adiff,0.0,0
section__adiff,0.0,0
section__diff,0.0,0
section__mean,0.0,0
L__mean,0.0,0
day__diff,0.0,0
run_once__adiff,0.0,0
L__diff,0.0,0
