feature,importance_gain,importance_split
entry_tenji__mean,12385.03217792511,111
ST_rank__mean,4922.990225791931,139
pred_mark__mean,4093.3358302116394,95
N_winning_rate__mean,1176.9579343795776,54
N_3rentai_rate__mean,997.5516991615295,61
N_2rentai_rate__mean,957.4655652046204,47
time_tenji__mean,693.1910133361816,52
entry_tenji__diff,692.1066040992737,30
entry_tenji__adiff,673.7890901565552,20
motor_3rentai_rate__mean,636.4799056053162,52
LC_2rentai_rate__mean,628.6859521865845,45
ST__diff,626.713960647583,45
ST__mean,623.8525080680847,39
weight__adiff,611.8947334289551,41
boat_3rentai_rate__mean,611.8267984390259,43
motor_2rentai_rate__mean,583.3344016075134,47
ST__adiff,574.7401375770569,42
R__mean,549.8327717781067,45
weight__diff,535.6296200752258,44
boat_2rentai_rate__mean,492.38475275039673,41
N_winning_rate__diff,487.3917045593262,36
motor_number__mean,476.78183937072754,35
motor_2rentai_rate__diff,455.3649802207947,34
boat_2rentai_rate__adiff,446.8479871749878,35
age__diff,444.34773778915405,36
boat_number__diff,440.8616108894348,37
boat_3rentai_rate__adiff,438.58561277389526,31
N_winning_rate__adiff,400.40433263778687,28
motor_2rentai_rate__adiff,391.82789039611816,28
motor_3rentai_rate__adiff,391.2218174934387,34
LC_3rentai_rate__mean,389.2272205352783,32
N_2rentai_rate__adiff,386.6534595489502,31
LC_3rentai_rate__diff,382.9434509277344,32
weight__mean,377.59788703918457,30
motor_3rentai_rate__diff,376.6364698410034,29
motor_number__adiff,373.5064182281494,27
age__mean,367.1121702194214,31
time_tenji__diff,337.3521537780762,29
N_3rentai_rate__diff,334.34850025177,26
LC_winning_rate__mean,325.2017631530762,23
ST_tenji__mean,318.71323680877686,27
boat_number__adiff,313.73771953582764,25
motor_number__diff,313.18906021118164,23
ST_mean__mean,307.66527128219604,25
N_3rentai_rate__adiff,299.8544178009033,27
boat_number__mean,298.7664403915405,23
LC_2rentai_rate__diff,295.52016019821167,23
LC_2rentai_rate__adiff,294.0769386291504,25
LC_winning_rate__adiff,292.5265998840332,25
LC_3rentai_rate__adiff,288.91206073760986,24
LC_winning_rate__diff,287.68636083602905,24
ST_tenji__adiff,282.9667730331421,21
age__adiff,280.8269715309143,26
N_2rentai_rate__diff,272.481249332428,19
boat_2rentai_rate__diff,259.3953104019165,24
pred_mark__adiff,231.5487298965454,15
boat_3rentai_rate__diff,227.80913972854614,20
ST_mean__diff,177.14617013931274,16
time_tenji__adiff,176.65162992477417,17
ST_tenji__diff,175.62924098968506,15
pred_mark__diff,172.29703998565674,12
temperature__mean,167.48367023468018,14
day__mean,162.97809028625488,10
ST_rank__diff,147.37868070602417,12
Tilt__diff,107.31406021118164,10
run_once__mean,99.05045938491821,11
wind_speed__mean,90.20002031326294,8
ST_tenji_rank__diff,88.26717901229858,8
ST_tenji_rank__mean,70.48465919494629,7
counter_weight__mean,66.29682922363281,6
F__mean,64.47891998291016,6
ST_rank__adiff,63.73119926452637,4
run_once__adiff,51.69301986694336,5
counter_weight__adiff,50.81156826019287,4
Tilt__mean,47.48144054412842,4
ST_tenji_rank__adiff,46.21579933166504,4
ST_mean__adiff,42.036681175231934,3
F__diff,32.39351940155029,3
Tilt__adiff,26.749500274658203,2
F__adiff,24.80273962020874,2
run_once__diff,22.469550609588623,2
water_temperature__shared,20.743199825286865,2
counter_weight__diff,18.5598201751709,2
water_temperature__mean,17.903709411621094,2
wave_height__mean,10.851799964904785,1
section__mean,10.03499984741211,1
wave_height__shared,9.476519584655762,1
temperature__shared,8.940150260925293,1
is_wakunari__mean,7.3914899826049805,1
wind_speed__shared,7.145659923553467,1
day__adiff,0.0,0
temperature__diff,0.0,0
temperature__adiff,0.0,0
wind_speed__diff,0.0,0
wind_speed__adiff,0.0,0
water_temperature__diff,0.0,0
water_temperature__adiff,0.0,0
remarks__adiff,0.0,0
remarks__diff,0.0,0
remarks__mean,0.0,0
R__adiff,0.0,0
day__diff,0.0,0
R__diff,0.0,0
wave_height__adiff,0.0,0
section__diff,0.0,0
L__adiff,0.0,0
L__diff,0.0,0
L__mean,0.0,0
section__adiff,0.0,0
henkan_ticket__mean,0.0,0
henkan_ticket__diff,0.0,0
is_wakunari__adiff,0.0,0
is_wakunari__diff,0.0,0
henkan_ticket__adiff,0.0,0
wave_height__diff,0.0,0
